X1,X2,X3,X4
dummy1,Root,1,
dummy2,dummy1,1,
Mycoplasma pneumoniae,dummy2,1,
B96.0,Mycoplasma pneumoniae,1,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere
J15.7,Mycoplasma pneumoniae,1,Pneumonia due to Mycoplasma pneumoniae
J20.0,Mycoplasma pneumoniae,1,Acute bronchitis due to Mycoplasma pneumoniae
Klebsiella pneumoniae,dummy2,1,
B96.1,Klebsiella pneumoniae,1,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere
J15.0,Klebsiella pneumoniae,1,Pneumonia due to Klebsiella pneumoniae
Escherichia coli,dummy2,1,
B96.2,Escherichia coli,1,Escherichia coli [E. coli ] as the cause of diseases classified elsewhere
J15.5,Escherichia coli,1,Pneumonia due to Escherichia coli
P23.4,Escherichia coli,1,Congenital pneumonia due to Escherichia coli
P36.4,Escherichia coli,1,Sepsis of newborn due to Escherichia coli
A04.0,Escherichia coli,1,Enteropathogenic Escherichia coli infection
A04.1,Escherichia coli,1,Enterotoxigenic Escherichia coli infection
A04.2,Escherichia coli,1,Enteroinvasive Escherichia coli infection
A04.3,Escherichia coli,1,Enterohemorrhagic Escherichia coli infection
A04.4,Escherichia coli,1,Other intestinal Escherichia coli infections
Hemophilus influenzae,dummy2,1,
B96.3,Hemophilus influenzae,1,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
J14,Hemophilus influenzae,1,Pneumonia due to Hemophilus influenzae
J20.1,Hemophilus influenzae,1,Acute bronchitis due to Hemophilus influenzae
A41.3,Hemophilus influenzae,1,Sepsis due to Hemophilus influenzae
A49.2,Hemophilus influenzae,1,"Hemophilus influenzae infection, unspecified site"
Pseudomonas,dummy2,1,
B96.5,Pseudomonas,1,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
J15.1,Pseudomonas,1,Pneumonia due to Pseudomonas
P23.5,Pseudomonas,1,Congenital pneumonia due to Pseudomonas
A41.52,Pseudomonas,1,Sepsis due to Pseudomonas
Clostridium perfringens,dummy2,1,
